p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.0,5.34445124399119,0.27,0.008,0.0,5,FSCN1
0.0,4.7857503642759,0.586,0.034,0.0,5,MARCKSL1
0.0,5.74297536855251,0.375,0.013,0.0,6,ENSBTAG00000010828
0.0,3.11011156520007,0.391,0.051,0.0,6,GZMM
0.0,2.45450633309946,0.364,0.073,0.0,6,CD8A
2.3752243776647297e-302,2.32088425850812,0.263,0.059,4.1029625899780506e-298,6,CEBPD
0.0,2.027747731006,0.448,0.115,0.0,6,CD8B
0.0,2.02518267054255,0.576,0.121,0.0,6,S100A13
0.0,2.02486152679915,0.554,0.165,0.0,6,YWHAQ
1.6323690036300301e-304,1.88277337790573,0.466,0.172,2.81975421687052e-300,6,IL7R
0.0,1.84289884373679,0.462,0.141,0.0,6,CD3D
1.3142440725489698e-270,1.51500704245804,0.587,0.277,2.27022521092109e-266,6,ENSBTAG00000047919
0.0,4.28746051391494,0.371,0.021,0.0,7,CD4
0.0,2.68282616137297,0.649,0.124,0.0,7,S100A13
0.0,2.43223153434363,0.485,0.104,0.0,7,CD5
0.0,2.21680520632288,0.83,0.407,0.0,7,S100A11
3.70659645892055e-282,2.09569847375471,0.288,0.063,6.40277472313937e-278,7,GPR183
1.21360438382424e-202,2.00197355027818,0.26,0.068,2.09638021261799e-198,7,KCNA3
1.4165100283599599e-185,1.99602504381175,0.288,0.087,2.44687942298899e-181,7,NFKBIA
0.0,1.92023918990907,0.644,0.243,0.0,7,S100A10
4.11482221016183e-187,1.86000994636958,0.28,0.081,7.10794388583355e-183,7,TSPAN13
0.0,1.8088076577229,0.523,0.173,0.0,7,IL7R
0.0,3.97887077758414,0.47,0.084,0.0,8,ENSBTAG00000068157
0.0,3.14754581900706,0.766,0.246,0.0,8,ENSBTAG00000051730
0.0,2.61683807205165,0.799,0.25,0.0,8,ENSBTAG00000070065
1.02401624079996e-271,2.49559019372313,0.401,0.122,1.7688856543578599e-267,8,ENSBTAG00000065557
0.0,2.4314230115298,0.573,0.161,0.0,8,ENSBTAG00000057949
0.0,2.37931319891532,0.718,0.211,0.0,8,ENSBTAG00000056429
1.16913033731901e-106,1.49582661302272,0.299,0.121,2.01955574468485e-102,8,5-8S-rRNA
1.9354728895237698e-191,0.821265908758946,0.994,0.95,3.34333586936335e-187,8,ENSBTAG00000060382
1.24563835696731e-190,0.81874542563561,0.999,0.982,2.15171569782533e-186,8,ENSBTAG00000066082
2.18502587550189e-21,0.749284009101796,0.282,0.194,3.77441369734197e-17,8,H1-4
0.0,7.27340326778122,0.768,0.008,0.0,9,PTI
0.0,6.22452708838993,0.314,0.004,0.0,9,P2RY14
0.0,5.23824908635648,0.554,0.017,0.0,9,ENSBTAG00000053740
0.0,4.91535262363567,0.452,0.019,0.0,9,CD59
0.0,3.81666154318849,0.395,0.027,0.0,9,ATP8B4
0.0,3.61572923168597,0.335,0.03,0.0,9,ACOT7
0.0,3.499106612467,0.899,0.124,0.0,9,S100A13
0.0,3.44703057314581,0.646,0.079,0.0,9,TIMP1
0.0,3.11840792908725,0.798,0.162,0.0,9,KLRB1
0.0,3.09341125045704,0.469,0.065,0.0,9,MS4A8
