method,animal,dims,resolution,cluster,cell_count,silhouette_score,is_small_cluster,average_silhouette_score,cumulative_variance,n_DEGs
SCT,animal28,10,0.25,C2,3065,0.343599194450734,FALSE,0.185956143309336,0.787978246691232,448
SCT,animal28,10,0.25,C3,1979,0.119542914994329,FALSE,0.185956143309336,0.787978246691232,2240
SCT,animal28,10,0.25,C4,1867,0.0887656038863568,FALSE,0.185956143309336,0.787978246691232,1041
SCT,animal28,10,0.25,C5,1584,0.196072614753479,FALSE,0.185956143309336,0.787978246691232,741
SCT,animal28,10,0.25,C6,1388,0.173542557532211,FALSE,0.185956143309336,0.787978246691232,544
SCT,animal28,10,0.25,C7,468,0.224303383616657,FALSE,0.185956143309336,0.787978246691232,1850
SCT,animal25,10,0.5,C0,1723,NA,FALSE,0.180863827422872,0.743573718858599,170
SCT,animal25,10,0.5,C1,1613,0.255321338644255,FALSE,0.180863827422872,0.743573718858599,2935
SCT,animal25,10,0.5,C2,1612,0.236197433448844,FALSE,0.180863827422872,0.743573718858599,14
SCT,animal25,10,0.5,C3,706,0.133981122835335,FALSE,0.180863827422872,0.743573718858599,1039
SCT,animal25,10,0.5,C4,641,-0.108828910615058,FALSE,0.180863827422872,0.743573718858599,988
SCT,animal25,10,0.5,C5,635,0.221022718218233,FALSE,0.180863827422872,0.743573718858599,699
SCT,animal25,10,0.5,C6,316,0.227068186942244,FALSE,0.180863827422872,0.743573718858599,195
SCT,animal25,10,0.5,C7,272,0.107383669017355,FALSE,0.180863827422872,0.743573718858599,675
SCT,animal25,10,0.5,C8,271,0.336142675518168,FALSE,0.180863827422872,0.743573718858599,1780
SCT,animal25,10,0.5,C9,258,0.238581319762801,FALSE,0.180863827422872,0.743573718858599,1177
SCT,animal25,10,0.5,C10,209,0.130022740548343,FALSE,0.180863827422872,0.743573718858599,367
SCT,animal25,10,0.5,C11,183,0.351586275280857,FALSE,0.180863827422872,0.743573718858599,1716
