"method","animal","dims","resolution","cluster","cell_count","silhouette_score","is_small_cluster","average_silhouette_score"
"SCT","merged",20,0.5,10,1273,-0.0727549556812963,FALSE,0.154380121313271
"SCT","merged",20,0.5,11,682,0.408253807014213,FALSE,0.154380121313271
"SCT","merged",20,0.5,12,567,0.208457997218327,FALSE,0.154380121313271
"SCT","merged",20,0.5,13,402,0.367109216609022,FALSE,0.154380121313271
"SCT","merged",20,0.5,14,196,0.169017421853625,FALSE,0.154380121313271
"SCT","merged",20,0.5,15,184,0.318536392614008,FALSE,0.154380121313271
"SCT","merged",20,0.75,0,4705,NA,FALSE,0.15743867319878
"SCT","merged",20,0.75,1,3985,0.166808515805012,FALSE,0.15743867319878
"SCT","merged",20,0.75,2,3883,0.140724357745626,FALSE,0.15743867319878
"SCT","merged",20,0.75,3,3327,0.36045138447206,FALSE,0.15743867319878
"SCT","merged",20,0.75,4,2996,0.0558968774899119,FALSE,0.15743867319878
"SCT","merged",20,0.75,5,2907,0.0562486257127996,FALSE,0.15743867319878
"SCT","merged",20,0.75,6,2347,0.259610019855885,FALSE,0.15743867319878
"SCT","merged",20,0.75,7,2298,0.164794200395854,FALSE,0.15743867319878
"SCT","merged",20,0.75,8,2249,0.0533034782520026,FALSE,0.15743867319878
"SCT","merged",20,0.75,9,1829,0.144209831702974,FALSE,0.15743867319878
"SCT","merged",20,0.75,10,1280,0.0855485222162179,FALSE,0.15743867319878
"SCT","merged",20,0.75,11,1159,0.386966968013694,FALSE,0.15743867319878
"SCT","merged",20,0.75,12,1126,0.019181479299108,FALSE,0.15743867319878
"SCT","merged",20,0.75,13,997,0.0311810137022636,FALSE,0.15743867319878
"SCT","merged",20,0.75,14,735,-0.0269412784521764,FALSE,0.15743867319878
"SCT","merged",20,0.75,15,707,0.156863095438596,FALSE,0.15743867319878
"SCT","merged",20,0.75,16,567,0.142084030043927,FALSE,0.15743867319878
"SCT","merged",20,0.75,17,402,0.331662864375943,FALSE,0.15743867319878
"SCT","merged",20,0.75,18,233,0.111284557650375,FALSE,0.15743867319878
"SCT","merged",20,0.75,19,184,0.157429178277605,FALSE,0.15743867319878
"SCT","merged",25,0.25,0,10837,NA,FALSE,0.141901631391588
"SCT","merged",25,0.25,1,5810,0.111497976320943,FALSE,0.141901631391588
"SCT","merged",25,0.25,2,4100,0.174234375374438,FALSE,0.141901631391588
"SCT","merged",25,0.25,3,3849,0.0237047952724543,FALSE,0.141901631391588
"SCT","merged",25,0.25,4,3603,0.16665622602906,FALSE,0.141901631391588
"SCT","merged",25,0.25,5,3001,0.0638901054652564,FALSE,0.141901631391588
"SCT","merged",25,0.25,6,2252,0.222168763409877,FALSE,0.141901631391588
