"animal","dims","resolution","cluster","cell_count"
"animal25",30,0.5,15,24
"animal25",30,0.5,16,20
"animal25",30,0.5,17,19
"animal26",30,0.5,0,905
"animal26",30,0.5,1,634
"animal26",30,0.5,2,582
"animal26",30,0.5,3,525
"animal26",30,0.5,4,482
"animal26",30,0.5,5,391
"animal26",30,0.5,6,238
"animal26",30,0.5,7,206
"animal26",30,0.5,8,195
"animal26",30,0.5,9,77
"animal27",30,0.5,0,2176
"animal27",30,0.5,1,1620
"animal27",30,0.5,2,590
"animal27",30,0.5,3,426
"animal27",30,0.5,4,395
"animal27",30,0.5,5,262
"animal27",30,0.5,6,167
"animal27",30,0.5,7,152
"animal27",30,0.5,8,70
"animal27",30,0.5,9,29
"animal28",30,0.5,0,3264
"animal28",30,0.5,1,3203
"animal28",30,0.5,2,2636
"animal28",30,0.5,3,2285
"animal28",30,0.5,4,1834
"animal28",30,0.5,5,1211
"animal28",30,0.5,6,1146
"animal28",30,0.5,7,1058
"animal28",30,0.5,8,788
"animal28",30,0.5,9,759
"animal28",30,0.5,10,531
"animal28",30,0.5,11,307
"animal28",30,0.5,12,143
"animal28",30,0.5,13,112
"animal25",30,0.75,0,2225
"animal25",30,0.75,1,1890
"animal25",30,0.75,2,696
"animal25",30,0.75,3,639
"animal25",30,0.75,4,626
"animal25",30,0.75,5,500
"animal25",30,0.75,6,336
"animal25",30,0.75,7,328
"animal25",30,0.75,8,267
"animal25",30,0.75,9,264
"animal25",30,0.75,10,211
"animal25",30,0.75,11,192
"animal25",30,0.75,12,114
"animal25",30,0.75,13,63
"animal25",30,0.75,14,57
"animal25",30,0.75,15,46
"animal25",30,0.75,16,24
"animal25",30,0.75,17,20
"animal25",30,0.75,18,19
"animal26",30,0.75,0,865
"animal26",30,0.75,1,528
"animal26",30,0.75,2,503
"animal26",30,0.75,3,473
"animal26",30,0.75,4,464
"animal26",30,0.75,5,392
"animal26",30,0.75,6,239
"animal26",30,0.75,7,202
"animal26",30,0.75,8,195
"animal26",30,0.75,9,134
"animal26",30,0.75,10,124
"animal26",30,0.75,11,77
"animal26",30,0.75,12,39
"animal27",30,0.75,0,1835
"animal27",30,0.75,1,1433
"animal27",30,0.75,2,590
"animal27",30,0.75,3,368
"animal27",30,0.75,4,359
"animal27",30,0.75,5,314
"animal27",30,0.75,6,266
"animal27",30,0.75,7,175
"animal27",30,0.75,8,175
"animal27",30,0.75,9,152
"animal27",30,0.75,10,120
"animal27",30,0.75,11,71
"animal27",30,0.75,12,29
"animal28",30,0.75,0,2433
"animal28",30,0.75,1,2184
"animal28",30,0.75,2,2003
"animal28",30,0.75,3,1825
"animal28",30,0.75,4,1780
"animal28",30,0.75,5,1209
"animal28",30,0.75,6,1205
"animal28",30,0.75,7,1148
"animal28",30,0.75,8,1051
"animal28",30,0.75,9,908
"animal28",30,0.75,10,788
"animal28",30,0.75,11,769
"animal28",30,0.75,12,537
"animal28",30,0.75,13,471
"animal28",30,0.75,14,337
"animal28",30,0.75,15,310
"animal28",30,0.75,16,147
"animal28",30,0.75,17,80
"animal28",30,0.75,18,62
"animal28",30,0.75,19,30
