"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","animal","method","dims","resolution"
3.11032921175244e-218,1.20277237279231,0.215,0.098,5.37278268038117e-214,0,"PTPN6","merged","SCT",15,0.25
1.61686121765432e-216,0.5739644574756,0.596,0.441,2.79296606737608e-212,0,"PFDN5","merged","SCT",15,0.25
5.15293450161016e-215,0.614984679902199,0.525,0.364,8.9011790580814e-211,0,"EMP3","merged","SCT",15,0.25
5.24801626281396e-215,1.32063964915449,0.173,0.069,9.06542329238484e-211,0,"LAT2","merged","SCT",15,0.25
5.05700781138851e-211,0.705049255736614,0.498,0.348,8.73547529339251e-207,0,"ENSBTAG00000056582","merged","SCT",15,0.25
1.94058147765378e-208,1.04133199782761,0.244,0.121,3.35216044449913e-204,0,"RUNX3","merged","SCT",15,0.25
3.98575324997726e-208,0.685620260568643,0.485,0.339,6.88499016401072e-204,0,"EIF3E","merged","SCT",15,0.25
7.18088142250167e-208,1.76617091687729,0.107,0.03,1.24042545692294e-203,0,"C10H15orf48","merged","SCT",15,0.25
6.97777368231312e-204,0.783826679126091,0.366,0.222,1.20534062588277e-199,0,"TSSC4","merged","SCT",15,0.25
9.33406313825511e-204,1.43926349463395,0.149,0.056,1.61236606650219e-199,0,"BATF","merged","SCT",15,0.25
1.78722585314616e-202,0.393568121588282,0.822,0.711,3.08725393872468e-198,0,"RACK1","merged","SCT",15,0.25
2.65797724160481e-201,1.08113519836459,0.221,0.106,4.59138988714815e-197,0,"LPGAT1","merged","SCT",15,0.25
5.65163538020949e-200,0.71400213600344,0.438,0.294,9.76263495577388e-196,0,"EIF3M","merged","SCT",15,0.25
1.87873891785519e-194,1.54576943882604,0.124,0.042,3.24533360670305e-190,0,"ENSBTAG00000055494","merged","SCT",15,0.25
1.63107497336408e-188,0.481610581529958,0.654,0.512,2.81751890898911e-184,0,"RPL36A","merged","SCT",15,0.25
1.11954667299256e-187,1.46772868721639,0.135,0.05,1.93390492292735e-183,0,"AGFG2","merged","SCT",15,0.25
1.91536956565321e-187,0.799797255153384,0.347,0.213,3.30860938770935e-183,0,"KLF2","merged","SCT",15,0.25
2.33175531617563e-187,1.38366245632878,0.116,0.038,4.02787413316179e-183,0,"DPYD","merged","SCT",15,0.25
6.46400644386202e-185,0.878875113393615,0.268,0.146,1.11659247311273e-180,0,"ENSBTAG00000067062","merged","SCT",15,0.25
4.11416043834975e-184,1.38722990901668,0.142,0.055,7.10680074120535e-180,0,"SOCS1","merged","SCT",15,0.25
1.4288612041828e-178,0.331444734465772,0.659,0.495,2.46821484410536e-174,0,"GPX1","merged","SCT",15,0.25
1.15676268369661e-177,0.580836239804762,0.465,0.318,1.99819185981752e-173,0,"ENSBTAG00000050846","merged","SCT",15,0.25
1.82572188739396e-168,1.23652045849785,0.154,0.066,3.15375198828432e-164,0,"EFHD2","merged","SCT",15,0.25
3.28888248926974e-168,0.573552926572522,0.474,0.334,5.68121561196455e-164,0,"PSMB9","merged","SCT",15,0.25
8.57971716322984e-168,1.19163260917386,0.167,0.075,1.48206034277632e-163,0,"ENSBTAG00000062565","merged","SCT",15,0.25
3.33195720492186e-167,0.571319628538021,0.45,0.311,5.75562287578202e-163,0,"HSPB1","merged","SCT",15,0.25
4.82459673746763e-167,0.951368443046955,0.164,0.072,8.33400840430158e-163,0,"ENSBTAG00000052173","merged","SCT",15,0.25
1.3918156084783e-166,1.48175440008709,0.108,0.036,2.40422228208542e-162,0,"SKAP2","merged","SCT",15,0.25
9.50209083059202e-163,0.834257980510864,0.14,0.057,1.64139117007647e-158,0,"LRMDA","merged","SCT",15,0.25
2.41537233684271e-162,1.41482946827042,0.109,0.038,4.17231417466209e-158,0,"TESK2","merged","SCT",15,0.25
2.68972504643286e-162,1.34634085703664,0.137,0.056,4.64623104520812e-158,0,"ZFP36","merged","SCT",15,0.25
4.93329565126017e-162,1.10368606750034,0.177,0.084,8.52177490798681e-158,0,"SYPL1","merged","SCT",15,0.25
1.52060709681419e-161,0.450731292483468,0.575,0.435,2.62669669903683e-157,0,"UCP2","merged","SCT",15,0.25
4.15500017122194e-159,0.476556164314694,0.524,0.381,7.17734729576878e-155,0,"KLF6","merged","SCT",15,0.25
6.48444375554598e-159,0.32781069701322,0.8,0.68,1.12012281433301e-154,0,"ERP27","merged","SCT",15,0.25
2.11709319846881e-158,0.905680336281339,0.238,0.131,3.65706679103503e-154,0,"SH3BP1","merged","SCT",15,0.25
2.25189659049942e-158,0.705023176861325,0.351,0.225,3.88992617042869e-154,0,"TSPO","merged","SCT",15,0.25
8.52016280700935e-158,0.827680651109143,0.263,0.151,1.47177292328279e-153,0,"FLNA","merged","SCT",15,0.25
6.57514925359466e-157,0.679901009204919,0.345,0.219,1.13579128206594e-152,0,"CD53","merged","SCT",15,0.25
3.4270582454279e-155,0.407960254452622,0.681,0.553,5.91990041315216e-151,0,"ENSBTAG00000040602","merged","SCT",15,0.25
4.11587019980906e-155,0.785644171027216,0.256,0.145,7.10975418315017e-151,0,"TXK","merged","SCT",15,0.25
6.39663786604851e-155,0.646537105187861,0.375,0.248,1.10495522498122e-150,0,"EPSTI1","merged","SCT",15,0.25
1.60482721734379e-151,0.500587143998151,0.903,0.875,2.77217853523965e-147,0,"ENSBTAG00000020116","merged","SCT",15,0.25
4.35975270579759e-150,0.861249598872016,0.259,0.151,7.53103682399476e-146,0,"TWF2","merged","SCT",15,0.25
3.8610830485313e-149,0.83950176653247,0.163,0.076,6.66963485803296e-145,0,"SLCO3A1","merged","SCT",15,0.25
2.18850414061022e-148,1.09909393056305,0.165,0.078,3.7804220524901e-144,0,"ST3GAL4","merged","SCT",15,0.25
2.06646250715039e-143,0.690422469990757,0.335,0.218,3.56960733485159e-139,0,"CCNI","merged","SCT",15,0.25
2.56291552718297e-143,0.570897160635024,0.436,0.31,4.42718028165587e-139,0,"JPT1","merged","SCT",15,0.25
2.9363335998239e-143,0.251144556153851,0.957,0.876,5.07222266033581e-139,0,"RPL27","merged","SCT",15,0.25
1.58952631524351e-141,0.631741495434305,0.366,0.246,2.74574775695164e-137,0,"BIN2","merged","SCT",15,0.25
2.86955815776577e-141,0.548405712340238,0.466,0.339,4.95687476172459e-137,0,"C5H12orf57","merged","SCT",15,0.25
1.93742652663379e-140,1.28112319759016,0.123,0.051,3.34671058210722e-136,0,"TNFAIP3","merged","SCT",15,0.25
2.41068238762134e-139,0.867385184232242,0.231,0.131,4.1642127563771e-135,0,"GABARAPL1","merged","SCT",15,0.25
2.57416346662109e-138,0.853641800028461,0.213,0.116,4.44660997224127e-134,0,"SPN","merged","SCT",15,0.25
1.86068023699001e-136,0.317020437009789,0.705,0.584,3.21413904137654e-132,0,"SRGN","merged","SCT",15,0.25
5.36429729512964e-136,0.969812499791211,0.18,0.092,9.26628714760695e-132,0,"RALB","merged","SCT",15,0.25
2.01028544431585e-134,0.850869979137498,0.22,0.123,3.4725670765112e-130,0,"MTPN","merged","SCT",15,0.25
4.05730174000581e-134,1.06178434521814,0.16,0.078,7.00858302568603e-130,0,"ENSBTAG00000060564","merged","SCT",15,0.25
1.73487299124241e-132,0.614361729105519,0.381,0.264,2.99681960507213e-128,0,"UBXN1","merged","SCT",15,0.25
7.5770668305937e-132,0.651400909856366,0.358,0.244,1.30886252431676e-127,0,"ENSBTAG00000037510","merged","SCT",15,0.25
8.45906863764136e-132,0.518692397268661,0.402,0.281,1.46121951646617e-127,0,"TLN1","merged","SCT",15,0.25
3.57452268779747e-131,0.997072765261631,0.165,0.082,6.17463049090134e-127,0,"ACSL5","merged","SCT",15,0.25
7.48136489220523e-131,1.36198400194213,0.104,0.04,1.29233097147953e-126,0,"CDIP1","merged","SCT",15,0.25
5.40713371270281e-130,1.13525207661606,0.138,0.063,9.34028277532283e-126,0,"BCL2A1","merged","SCT",15,0.25
3.86402779808495e-127,0.659221404250111,0.299,0.191,6.67472161841194e-123,0,"ANXA2","merged","SCT",15,0.25
1.26752258942597e-125,0.900927859122195,0.185,0.099,2.18951852097442e-121,0,"ENSBTAG00000058143","merged","SCT",15,0.25
8.12087014999804e-125,0.313064322221834,0.741,0.635,1.40279910971066e-120,0,"ARPC2","merged","SCT",15,0.25
1.79959004220563e-124,0.807706042419753,0.189,0.102,3.10861183890601e-120,0,"SYNE1","merged","SCT",15,0.25
5.02182379427747e-124,0.971263257405261,0.165,0.084,8.6746984222349e-120,0,"GSN","merged","SCT",15,0.25
9.90209762853117e-123,0.522012535234716,0.419,0.302,1.71048834435247e-118,0,"YPEL3","merged","SCT",15,0.25
1.39361429193073e-122,0.311929676390498,0.752,0.631,2.40732932788114e-118,0,"MYL6","merged","SCT",15,0.25
4.46617604028374e-122,1.24814447970223,0.1,0.039,7.71487249198614e-118,0,"AOAH","merged","SCT",15,0.25
6.01777918057551e-122,0.489216386659393,0.316,0.205,1.03951117565261e-117,0,"JUNB","merged","SCT",15,0.25
1.22939350138616e-121,0.289094051715005,0.708,0.588,2.12365433429446e-117,0,"ITM2B","merged","SCT",15,0.25
8.40829368386298e-120,0.505725174467064,0.414,0.298,1.45244865095049e-115,0,"TMBIM6","merged","SCT",15,0.25
1.82899333924824e-119,0.343638050267011,0.712,0.604,3.1594030942174e-115,0,"NACA","merged","SCT",15,0.25
9.44160390084983e-118,0.623434516663799,0.338,0.231,1.6309426578328e-113,0,"PHETA2","merged","SCT",15,0.25
4.1553054390378e-116,0.766156349823032,0.221,0.13,7.17787461539389e-112,0,"CMTM7","merged","SCT",15,0.25
1.11046156659507e-114,1.15316998710623,0.104,0.044,1.91821131013632e-110,0,"FER","merged","SCT",15,0.25
1.68499153570816e-113,0.689163144480478,0.281,0.182,2.91065437878228e-109,0,"CST3","merged","SCT",15,0.25
1.70815300881572e-113,0.448444346109107,0.477,0.359,2.95066350742828e-109,0,"HCST","merged","SCT",15,0.25
5.90399648307704e-113,0.413780191812406,0.571,0.459,1.01985635248673e-108,0,"RPL17.1","merged","SCT",15,0.25
1.42448063463357e-112,0.694614590542986,0.221,0.13,2.46064784826603e-108,0,"CD63","merged","SCT",15,0.25
2.42296361300388e-112,0.987679748603821,0.143,0.071,4.1854273451029e-108,0,"SLA2","merged","SCT",15,0.25
1.70147361011277e-110,0.978767665020184,0.147,0.074,2.9391255141088e-106,0,"AP1S2","merged","SCT",15,0.25
1.0178297922971e-107,0.758932418955003,0.216,0.13,1.75819918321401e-103,0,"SNX3","merged","SCT",15,0.25
1.23278228772031e-107,0.664583627677107,0.271,0.176,2.12950812380807e-103,0,"RABAC1","merged","SCT",15,0.25
1.36876337667572e-107,0.934086794606072,0.158,0.084,2.36440185686963e-103,0,"ABI3","merged","SCT",15,0.25
2.65985617463892e-107,0.493596823224071,0.409,0.299,4.59463555607127e-103,0,"CD37","merged","SCT",15,0.25
1.2395866039521e-105,0.912369911039002,0.153,0.08,2.14126189966686e-101,0,"SLAMF7","merged","SCT",15,0.25
1.32208398143929e-105,0.974250816579412,0.142,0.073,2.28376786953823e-101,0,"SQOR","merged","SCT",15,0.25
4.14640110775325e-105,0.783159382610546,0.199,0.117,7.16249327353296e-101,0,"PITPNB","merged","SCT",15,0.25
1.73916668070647e-104,0.402090886969897,0.275,0.176,3.00423652425236e-100,0,"NCALD","merged","SCT",15,0.25
2.33333477212883e-104,0.803949495316625,0.187,0.107,4.03060248537535e-100,0,"PHF11","merged","SCT",15,0.25
3.70856604032425e-104,0.548343461470091,0.356,0.253,6.4061769780561e-100,0,"OSTF1","merged","SCT",15,0.25
2.12258999179206e-101,0.881432045564597,0.172,0.097,3.66656195182161e-97,0,"C25H16orf54","merged","SCT",15,0.25
2.35242703791771e-101,0.933368820659252,0.151,0.08,4.06358246529905e-97,0,"MYDGF","merged","SCT",15,0.25
1.02937017378626e-99,0.847534019280523,0.178,0.102,1.77813403819838e-95,0,"PGK1","merged","SCT",15,0.25
2.75948192059193e-98,0.260279444371938,0.766,0.663,4.7667290696305e-94,0,"CALM1","merged","SCT",15,0.25
5.96831078647239e-98,0.927094496447053,0.15,0.081,1.03096600525524e-93,0,"UQCC3","merged","SCT",15,0.25
1.67609894533822e-97,0.881997852044091,0.152,0.083,2.89529331817724e-93,0,"ENDOG","merged","SCT",15,0.25
7.18171948395782e-97,0.696279957818699,0.222,0.138,1.24057022365887e-92,0,"SELENOK","merged","SCT",15,0.25
2.05334215560719e-96,0.382821938401326,0.551,0.449,3.54694323959585e-92,0,"EEF2","merged","SCT",15,0.25
1.23985813359844e-93,0.766443182535878,0.188,0.112,2.14173093997794e-89,0,"MYO1G","merged","SCT",15,0.25
1.15758911493387e-92,0.491077636465121,0.346,0.247,1.99961943713678e-88,0,"PKM","merged","SCT",15,0.25
1.42306723685766e-92,0.466532809089627,0.425,0.324,2.45820634494792e-88,0,"PTPN18","merged","SCT",15,0.25
2.4186210671677e-92,0.396826462898496,0.516,0.413,4.17792603142549e-88,0,"ARPC1B","merged","SCT",15,0.25
3.01147132988187e-92,0.988613830486055,0.117,0.058,5.20201557523794e-88,0,"EOMES","merged","SCT",15,0.25
1.72911547313193e-91,0.391756741394374,0.529,0.431,2.98687406828809e-87,0,"PABPC1","merged","SCT",15,0.25
5.833131944501e-91,0.361113681680655,0.538,0.433,1.0076152120931e-86,0,"ARPC3","merged","SCT",15,0.25
1.04765227225362e-90,0.531971774287098,0.328,0.233,1.8097145350909e-86,0,"ZFP36L1","merged","SCT",15,0.25
