"cluster","animal","n_DEGs","dims","resolution"
"C0","animal28",1156884,"15","0.5"
"C1","animal25",46116,"15","0.5"
"C1","animal26",65394,"15","0.5"
"C1","animal27",59220,"15","0.5"
"C1","animal28",323064,"15","0.5"
"C10","animal25",86867,"15","0.5"
"C10","animal26",53342,"15","0.5"
"C10","animal27",38740,"15","0.5"
"C10","animal28",14006,"15","0.5"
"C11","animal25",35840,"15","0.5"
"C11","animal26",15680,"15","0.5"
"C11","animal27",86800,"15","0.5"
"C11","animal28",43400,"15","0.5"
"C12","animal25",10480,"15","0.5"
"C12","animal26",1965,"15","0.5"
"C12","animal27",7860,"15","0.5"
"C12","animal28",10873,"15","0.5"
"C13","animal25",4292,"15","0.5"
"C13","animal26",4884,"15","0.5"
"C13","animal27",21756,"15","0.5"
"C13","animal28",2368,"15","0.5"
"C2","animal25",34814,"15","0.5"
"C2","animal26",35947,"15","0.5"
"C2","animal27",17922,"15","0.5"
"C2","animal28",313944,"15","0.5"
"C3","animal25",125184,"15","0.5"
"C3","animal26",89487,"15","0.5"
"C3","animal27",30970,"15","0.5"
"C3","animal28",288999,"15","0.5"
"C4","animal25",298200,"15","0.5"
"C4","animal26",45000,"15","0.5"
"C4","animal27",295500,"15","0.5"
"C4","animal28",310200,"15","0.5"
"C5","animal25",84780,"15","0.5"
"C5","animal26",184950,"15","0.5"
"C5","animal27",62640,"15","0.5"
"C5","animal28",506520,"15","0.5"
"C6","animal25",80066,"15","0.5"
"C6","animal26",15694,"15","0.5"
"C6","animal27",18753,"15","0.5"
"C6","animal28",216790,"15","0.5"
"C7","animal25",684432,"15","0.5"
"C7","animal26",241668,"15","0.5"
"C7","animal27",312228,"15","0.5"
"C7","animal28",916398,"15","0.5"
"C8","animal25",562392,"15","0.5"
"C8","animal26",436560,"15","0.5"
"C8","animal27",148944,"15","0.5"
"C8","animal28",1978644,"15","0.5"
"C9","animal25",113238,"15","0.5"
"C9","animal26",50787,"15","0.5"
"C9","animal27",189540,"15","0.5"
"C9","animal28",199260,"15","0.5"
"C0","animal25",328575,"15","0.75"
"C0","animal26",59085,"15","0.75"
"C0","animal27",171015,"15","0.75"
"C0","animal28",422175,"15","0.75"
"C1","animal25",35394,"15","0.75"
"C1","animal26",37230,"15","0.75"
"C1","animal27",17136,"15","0.75"
"C1","animal28",319056,"15","0.75"
"C10","animal25",48822,"15","0.75"
"C10","animal26",38625,"15","0.75"
"C10","animal27",13390,"15","0.75"
"C10","animal28",63551,"15","0.75"
"C11","animal25",60336,"15","0.75"
"C11","animal26",18144,"15","0.75"
"C11","animal27",58896,"15","0.75"
"C11","animal28",57744,"15","0.75"
"C12","animal25",87016,"15","0.75"
"C12","animal26",53342,"15","0.75"
"C12","animal27",38591,"15","0.75"
"C12","animal28",13708,"15","0.75"
"C13","animal25",70216,"15","0.75"
"C13","animal26",29748,"15","0.75"
"C13","animal27",118456,"15","0.75"
"C13","animal28",114704,"15","0.75"
"C14","animal25",115340,"15","0.75"
"C14","animal26",67150,"15","0.75"
"C14","animal27",48980,"15","0.75"
"C14","animal28",135090,"15","0.75"
"C15","animal25",10480,"15","0.75"
"C15","animal26",1965,"15","0.75"
"C15","animal27",7860,"15","0.75"
"C15","animal28",10873,"15","0.75"
"C16","animal25",4292,"15","0.75"
"C16","animal26",4884,"15","0.75"
"C16","animal27",21756,"15","0.75"
"C16","animal28",2368,"15","0.75"
"C17","animal25",2197,"15","0.75"
"C17","animal26",2197,"15","0.75"
