"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.76955683110621e-215,2.54501962066494,0.253,0.049,4.78413247005286e-211,"9","ADHFE1"
0,2.46515235618763,0.608,0.147,0,"9","CD63"
0,2.45936626923483,0.381,0.078,0,"9","GPR171"
1.01080548753134e-277,2.26003792628302,0.391,0.089,1.74606539916163e-273,"9","SYNGR2"
0,4.29479900213088,0.488,0.035,0,"10","ENSBTAG00000064910"
1.33685417770079e-294,3.13939908905868,0.278,0.033,2.30928190656034e-290,"10","MARCKS"
2.89815506305836e-164,2.13436913498416,0.364,0.089,5.00627305592701e-160,"10","PSTPIP2"
2.80741548047909e-146,2.08626147606115,0.393,0.111,4.84952950097958e-142,"10","ENSBTAG00000009943"
3.83429949660291e-112,1.89759984920209,0.332,0.098,6.62336895043186e-108,"10","A4GALT"
7.606682334494e-73,1.70226466358944,0.266,0.088,1.31397830646049e-68,"10","ARFGAP3"
8.90997236743965e-119,1.66916887199068,0.438,0.151,1.53910862675152e-114,"10","TSPAN4"
8.81461563929941e-61,1.5913179382579,0.262,0.094,1.52263670553258e-56,"10","FCGR3A"
1.01254059647045e-59,1.4773944631032,0.29,0.111,1.74906262634305e-55,"10","FGR"
4.20855412223533e-132,1.38950786165134,0.655,0.284,7.26985639074932e-128,"10","IFI6"
5.12066498471929e-79,1.3872093702098,0.465,0.211,8.8454366946041e-75,"10","CST3"
1.28426927911207e-96,1.36127304159089,0.466,0.184,2.2184467527382e-92,"10","ZEB2"
1.76171321427005e-52,1.17749811958903,0.355,0.16,3.04318340633008e-48,"10","PRR5"
5.3364362410286e-48,1.16945850160945,0.277,0.114,9.21815996275281e-44,"10","PRKAR2B"
3.90517371771011e-42,1.16368390964944,0.328,0.158,6.74579707997244e-38,"10","CD2"
1.96451194823145e-33,1.09922983816015,0.299,0.15,3.393497939375e-29,"10","DTNBP1"
5.47729255929831e-46,1.02746195518761,0.429,0.228,9.4614751669319e-42,"10","ARPC5L"
3.41369228749301e-61,1.02596006965686,0.515,0.267,5.89681205741543e-57,"10","TSSC4"
1.36981269944562e-61,0.999290881461594,0.634,0.395,2.36621445702237e-57,"10","ENSBTAG00000056582"
1.03595726104347e-137,0.958996760790868,0.933,0.472,1.78951257272649e-133,"10","IDO1"
0,8.95643419239405,0.706,0.002,0,"11","ENSBTAG00000050953"
0,8.7632557191182,0.857,0.003,0,"11","RHEX"
0,8.63062364277873,0.282,0.001,0,"11","WC1"
0,5.85552291972576,0.517,0.01,0,"11","BLK"
0,5.85332796446033,0.39,0.008,0,"11","CD163L1"
0,5.32911641650868,0.36,0.009,0,"11","CXCL12"
1.08006956347679e-300,4.01183279038592,0.25,0.019,1.86571216394981e-296,"11","ENSBTAG00000069133"
0,3.61569325201375,0.307,0.026,0,"11","ADIRF"
0,3.34558796379468,0.447,0.049,0,"11","NPDC1"
3.13819739383904e-266,3.09495881360779,0.41,0.057,5.42092217811756e-262,"11","YBX3"
2.84451451975205e-146,2.7248257268392,0.26,0.039,4.91361438141968e-142,"11","GPR35"
0,2.70341733666741,0.845,0.185,0,"11","ENSBTAG00000000144"
0,2.69202418744288,0.763,0.183,0,"11","CD247"
1.63048420818579e-121,2.62622790884667,0.253,0.044,2.81649842122013e-117,"11","PDIA4"
2.27250421578718e-154,2.61448816263937,0.303,0.05,3.92552378235077e-150,"11","FXYD6"
7.43329962688612e-287,2.4318065534852,0.948,0.419,1.28402817754831e-282,"11","S100A11"
3.50596064444379e-115,2.38735309154592,0.31,0.065,6.05619641721221e-111,"11","ENSBTAG00000054774"
2.99966156374231e-252,2.35830331364627,0.929,0.39,5.18161538520846e-248,"11","S100A4"
3.07829047566477e-179,2.33618500310465,0.451,0.092,5.31743896766333e-175,"11","TIMP1"
1.19445818432234e-140,2.277437425752,0.34,0.066,2.06330706759842e-136,"11","ID3"
0,8.42378601669456,0.324,0.001,0,"12","RRM2"
0,8.32852658203848,0.393,0.002,0,"12","PCLAF"
0,7.53432249284423,0.374,0.002,0,"12","UHRF1"
0,6.65086459170083,0.307,0.004,0,"12","CENPW"
0,6.54898015744289,0.283,0.004,0,"12","NUSAP1"
0,6.50885810202063,0.307,0.004,0,"12","SPC24"
0,6.24812860969008,0.287,0.005,0,"12","UBE2C"
0,5.28855920271975,0.257,0.008,0,"12","BIRC5"
0,5.00693137671502,0.298,0.022,0,"12","H1-5"
0,4.58166050327062,0.415,0.023,0,"12","MKI67"
0,4.45384456734029,0.251,0.013,0,"12","MCM4"
0,4.38064926369568,0.4,0.031,0,"12","CKS2"
0,4.26208152205722,0.305,0.019,0,"12","SMC2"
0,4.22514116596189,0.94,0.244,0,"12","TUBA1B"
0,3.99918747829525,0.76,0.099,0,"12","H2AZ1"
0,3.8816574675856,0.309,0.024,0,"12","MCM5"
0,3.78028232874061,0.793,0.124,0,"12","DUT"
0,3.76831074365301,0.661,0.096,0,"12","PCNA"
0,3.75296277931957,0.473,0.046,0,"12","RNASEH2A"
0,3.71947142195277,0.873,0.178,0,"12","STMN1"
0,12.6321428419057,0.401,0.002,0,"13","ENSBTAG00000046076"
0,12.5900391437503,0.373,0.006,0,"13","ENSBTAG00000052233"
0,12.5640041198323,0.355,0.004,0,"13","ENSBTAG00000047529"
0,11.8893481244994,0.313,0.002,0,"13","ENSBTAG00000050088"
0,11.6000782411603,0.636,0.005,0,"13","ENSBTAG00000053508"
0,11.4817146705785,0.793,0.001,0,"13","PROB1"
0,11.475653448362,0.378,0.002,0,"13","ENSBTAG00000048268"
0,11.3475779979269,0.585,0.001,0,"13","ENSBTAG00000048832"
0,10.4944136086469,0.29,0.004,0,"13","ENSBTAG00000058549"
0,10.3942090832607,0.276,0.003,0,"13","ENSBTAG00000054947"
0,10.3524419303737,0.788,0.006,0,"13","ENSBTAG00000058030"
0,9.61546180342211,0.461,0.001,0,"13","BCL2L15"
0,9.50108200037057,0.442,0.001,0,"13","ENSBTAG00000068417"
0,9.48535191714965,0.452,0.003,0,"13","ENSBTAG00000048135"
0,9.29512046387304,0.903,0.019,0,"13","JCHAIN"
0,8.42254005560814,0.309,0.001,0,"13","EAF2"
0,8.00425957301672,0.336,0.005,0,"13","ENSBTAG00000047700"
0,7.96793440518327,0.378,0.003,0,"13","ENSBTAG00000064308"
0,7.63447581280582,0.857,0.012,0,"13","DERL3"
0,7.49315482221254,0.323,0.002,0,"13","ENSBTAG00000058161"
0,10.5619723527025,0.382,0.001,0,"14","SLC40A1"
0,10.4949093098938,0.623,0.001,0,"14","TUBB1"
0,10.4930454628896,0.41,0.001,0,"14","LY6G6C"
0,10.3643265937017,0.274,0,0,"14","ENSBTAG00000050158"
0,10.0252021100886,0.66,0.002,0,"14","MPIG6B"
0,9.75159996746917,0.656,0.003,0,"14","TAC3"
0,9.71962200928868,0.344,0.001,0,"14","PDLIM1"
0,9.63205078843863,0.25,0.001,0,"14","SRXN1"
0,9.62916775624116,0.972,0.006,0,"14","ENSBTAG00000049782"
0,9.62364412798734,0.976,0.009,0,"14","ENSBTAG00000011961"
0,9.4708244646443,0.41,0.002,0,"14","LGALSL"
0,8.24421189203036,0.269,0.002,0,"14","CD55"
0,8.23295483302881,0.613,0.006,0,"14","KCTD14"
0,7.99154099878731,0.868,0.013,0,"14","GNG11"
0,7.81554642928722,0.259,0.002,0,"14","PARVB"
0,7.68096038891958,0.759,0.008,0,"14","FXYD4"
0,6.91379455697767,0.358,0.006,0,"14","TIMP2"
0,6.74868447489115,0.321,0.005,0,"14","ITGB3"
4.63570870575641e-263,5.46140592417797,0.311,0.014,8.00772321832363e-259,"14","EGLN3"
2.09728871030201e-234,5.28547568706214,0.292,0.014,3.6228565181757e-230,"14","CD9"
