"animal","condition","avg_expression","percent_expressed","marker","group"
"Animal28","nkp46+",1.05309640567368,61.5250225428314,"NCR1","activating_receptors"
"Animal28","nkp46-",0.0554546404368917,3.14749896339855,"NCR1","activating_receptors"
"Animal52","nkp46+",0.507854439089375,19.0690988400912,"NCR1","activating_receptors"
"Animal52","nkp46-",0.395336326853519,23.3003074820635,"NCR1","activating_receptors"
"Animal25","nkp46+",1.68173849178794,73.5571812668042,"NCR3","activating_receptors"
"Animal25","nkp46-",1.24866424302809,41.5898076174366,"NCR3","activating_receptors"
"Animal26","nkp46+",1.53013862497158,65.4963122311002,"NCR3","activating_receptors"
"Animal26","nkp46-",1.68555993056901,72.9283793693474,"NCR3","activating_receptors"
"Animal27","nkp46+",1.23930511556302,46.715844785772,"NCR3","activating_receptors"
"Animal27","nkp46-",1.24582581465126,43.7724578841756,"NCR3","activating_receptors"
"Animal28","nkp46+",1.89524566142174,82.9688908926961,"NCR3","activating_receptors"
"Animal28","nkp46-",1.58526528461209,64.8912510837197,"NCR3","activating_receptors"
"Animal52","nkp46+",0.984831953871262,35.4251346617759,"NCR3","activating_receptors"
"Animal52","nkp46-",0.817351192789828,39.9385035872907,"NCR3","activating_receptors"
"Animal25","nkp46+",0.275739988512678,16.988682548615,"SLAMF6","activating_receptors"
"Animal25","nkp46-",0.166470062106934,5.9956770980171,"SLAMF6","activating_receptors"
"Animal26","nkp46+",0.287995961352023,16.7947141979103,"SLAMF6","activating_receptors"
"Animal26","nkp46-",0.3424804045869,21.2661940845759,"SLAMF6","activating_receptors"
"Animal27","nkp46+",0.135330145370916,6.29547291835085,"SLAMF6","activating_receptors"
"Animal27","nkp46-",0.176313557957813,7.36851929628074,"SLAMF6","activating_receptors"
"Animal28","nkp46+",0.318851773367136,22.7119026149684,"SLAMF6","activating_receptors"
"Animal28","nkp46-",0.181901483568712,9.99283802631083,"SLAMF6","activating_receptors"
"Animal52","nkp46+",0.19587124212005,7.48653382241169,"SLAMF6","activating_receptors"
"Animal52","nkp46-",0.220673864518314,13.7000341646737,"SLAMF6","activating_receptors"
"Animal25","nkp46+",0.42721708128374,25.0547114362534,"SLAMF7","activating_receptors"
"Animal25","nkp46-",0.12821192693613,4.76056224576101,"SLAMF7","activating_receptors"
"Animal26","nkp46+",0.356893228165678,20.3211432083589,"SLAMF7","activating_receptors"
"Animal26","nkp46-",0.276704080726752,17.2451723295038,"SLAMF7","activating_receptors"
"Animal27","nkp46+",0.225853747459088,10.0848827809216,"SLAMF7","activating_receptors"
"Animal27","nkp46-",0.149898818280874,6.48187036259275,"SLAMF7","activating_receptors"
"Animal28","nkp46+",0.45616308989189,31.2049143372408,"SLAMF7","activating_receptors"
"Animal28","nkp46-",0.175798885281395,9.81567341399978,"SLAMF7","activating_receptors"
"Animal52","nkp46+",0.121685937436792,4.64624434090083,"SLAMF7","activating_receptors"
"Animal52","nkp46-",0.192802370065838,12.8800819952169,"SLAMF7","activating_receptors"
"Animal25","nkp46+",0.110433364325264,6.74670168198587,"TGFBR1","cytokine_receptors"
"Animal25","nkp46-",0.0528322387042215,1.96410111831595,"TGFBR1","cytokine_receptors"
"Animal26","nkp46+",0.131277762592329,7.81730178242163,"TGFBR1","cytokine_receptors"
"Animal26","nkp46-",0.21991616314118,13.8841359080909,"TGFBR1","cytokine_receptors"
"Animal27","nkp46+",0.055027692450865,2.51616814874697,"TGFBR1","cytokine_receptors"
"Animal27","nkp46-",0.0626105084736573,2.70661253441598,"TGFBR1","cytokine_receptors"
"Animal28","nkp46+",0.10336605321696,7.6251127141569,"TGFBR1","cytokine_receptors"
"Animal28","nkp46-",0.0825711343314456,4.49696558483169,"TGFBR1","cytokine_receptors"
"Animal52","nkp46+",0.0766439014668071,3.05673969796107,"TGFBR1","cytokine_receptors"
"Animal52","nkp46-",0.0802340155343992,4.37307823710284,"TGFBR1","cytokine_receptors"
"Animal25","nkp46+",0.118386992533914,7.37822797473895,"IL12RB1","cytokine_receptors"
"Animal25","nkp46-",0.0334463489488915,1.23645736839985,"IL12RB1","cytokine_receptors"
"Animal26","nkp46+",0.0843311883431384,5.08220651505839,"IL12RB1","cytokine_receptors"
"Animal26","nkp46-",0.0742338661705523,5.0843314593009,"IL12RB1","cytokine_receptors"
"Animal27","nkp46+",0.119071208257042,5.38601455133387,"IL12RB1","cytokine_receptors"
"Animal27","nkp46-",0.0567793034910514,2.51994960100798,"IL12RB1","cytokine_receptors"
"Animal28","nkp46+",0.179867594407673,13.0184851217313,"IL12RB1","cytokine_receptors"
"Animal28","nkp46-",0.0651296592214951,3.73553469787779,"IL12RB1","cytokine_receptors"
"Animal52","nkp46+",0.0970953522176888,3.78374805855722,"IL12RB1","cytokine_receptors"
"Animal52","nkp46-",0.22583199249274,13.7683635121285,"IL12RB1","cytokine_receptors"
"Animal25","nkp46+",1.30330079543931,64.8971424998437,"IL2RG","cytokine_receptors"
"Animal25","nkp46-",0.660552960386763,23.3235329654839,"IL2RG","cytokine_receptors"
"Animal26","nkp46+",1.25536980056257,60.2988629379226,"IL2RG","cytokine_receptors"
"Animal26","nkp46-",1.21166184768986,62.2341725739428,"IL2RG","cytokine_receptors"
"Animal27","nkp46+",0.70422924600766,29.6685529506871,"IL2RG","cytokine_receptors"
"Animal27","nkp46-",0.94862720466297,36.7679313080405,"IL2RG","cytokine_receptors"
"Animal28","nkp46+",1.44600082901633,76.2173128944995,"IL2RG","cytokine_receptors"
"Animal28","nkp46-",1.05953401391236,50.0471182479551,"IL2RG","cytokine_receptors"
"Animal52","nkp46+",1.01613517323341,36.7073130431909,"IL2RG","cytokine_receptors"
"Animal52","nkp46-",1.356985802028,64.8103860608131,"IL2RG","cytokine_receptors"
"Animal25","nkp46+",0.041554990975887,2.50109422872507,"TGFBR3","cytokine_receptors"
"Animal25","nkp46-",0.045168674078666,1.6405547276706,"TGFBR3","cytokine_receptors"
